timeseries/data_date,timeseries/unix_timestamp,timeseries/individuals
2023-01-02,1672617600,2803
2023-01-03,1672704000,3045
2023-01-04,1672790400,3331
2023-01-05,1672876800,3010
2023-01-06,1672963200,1937
2023-01-07,1673049600,2238
2023-01-08,1673136000,3075
2023-01-09,1673222400,3365
2023-01-10,1673308800,3413
2023-01-11,1673395200,3555
2023-01-12,1673481600,2842
2023-01-13,1673568000,3175
2023-01-14,1673654400,3280
2023-01-15,1673740800,3139
2023-01-16,1673827200,2538
2023-01-17,1673913600,2656
2023-01-18,1674000000,2649
2023-01-19,1674086400,2066
2023-01-20,1674172800,2557
2023-01-21,1674259200,3210
2023-01-22,1674345600,2815
2023-01-23,1674432000,1968
2023-01-24,1674518400,2310
2023-01-25,1674604800,2760
2023-01-26,1674691200,2344
2023-01-27,1674777600,2571
2023-01-28,1674864000,2974
2023-01-29,1674950400,3009
2023-01-30,1675036800,1931
2023-01-31,1675123200,2418
2023-02-01,1675209600,2580
2023-02-02,1675296000,2492
2023-02-03,1675382400,2500
2023-02-04,1675468800,2820
2023-02-05,1675555200,2463
2023-02-06,1675641600,1896
2023-02-07,1675728000,2147
2023-02-08,1675814400,2370
2023-02-09,1675900800,2255
2023-02-10,1675987200,2629
2023-02-11,1676073600,3126
2023-02-12,1676160000,2712
2023-02-13,1676246400,2080
2023-02-14,1676332800,2067
2023-02-15,1676419200,2464
2023-02-16,1676505600,2523
2023-02-17,1676592000,2641
2023-02-18,1676678400,3102
2023-02-19,1676764800,2576
2023-02-20,1676851200,1976
2023-02-21,1676937600,2046
2023-02-22,1677024000,2625
2023-02-23,1677110400,2369
2023-02-24,1677196800,2670
2023-02-25,1677283200,2528
2023-02-26,1677369600,2439
2023-02-27,1677456000,2040
2023-02-28,1677542400,2036
2023-03-01,1677628800,1649
2023-03-02,1677715200,1820
2023-03-03,1677801600,2239
2023-03-04,1677888000,2320
2023-03-05,1677974400,2212
2023-03-06,1678060800,1587
2023-03-07,1678147200,1475
2023-03-08,1678233600,1821
2023-03-09,1678320000,1545
2023-03-10,1678406400,2348
2023-03-12,1678579200,2440
2023-03-13,1678665600,1596
2023-03-14,1678752000,1691
2023-03-15,1678838400,1814
2023-03-16,1678924800,1821
2023-03-17,1679011200,2222
2023-03-18,1679097600,2496
2023-03-19,1679184000,2706
